date,country,xborder_liab_nonbanks_usd_mn,yq
2020-12-31,United Kingdom,5421254,2020Q4
2021-03-31,United Kingdom,5462906,2021Q1
2021-06-30,United Kingdom,5451913,2021Q2
2021-09-30,United Kingdom,5415734,2021Q3
2021-12-31,United Kingdom,5517637,2021Q4
2022-03-31,United Kingdom,5627477,2022Q1
2022-06-30,United Kingdom,5461453,2022Q2
2022-09-30,United Kingdom,5335687,2022Q3
2022-12-31,United Kingdom,5337596,2022Q4
2023-03-31,United Kingdom,5442770,2023Q1
2023-06-30,United Kingdom,5404516,2023Q2
2023-09-30,United Kingdom,5367395,2023Q3
2023-12-31,United Kingdom,5591763,2023Q4
2024-03-31,United Kingdom,5765712,2024Q1
2024-06-30,United Kingdom,5714227,2024Q2
2024-09-30,United Kingdom,6013720,2024Q3
2024-12-31,United Kingdom,5854511,2024Q4
2025-03-31,United Kingdom,6126711,2025Q1
