id,quarter,value,log_value,gdp_growth
BE,2016 Q2,270082.073,12.506481165863827,1.19350273007754
BE,2016 Q3,281727.2155,12.548694560841453,1.19350273007754
BE,2016 Q4,258286.526,12.461824813573122,1.19350273007754
BE,2017 Q2,292410.467,12.585913803070694,1.47446761556785
BE,2017 Q3,266298.45050000004,12.492372953159485,1.47446761556785
BE,2017 Q4,257996.956,12.46070306538454,1.47446761556785
BE,2018 Q2,277978.076,12.535297526253547,1.87796847383565
BE,2018 Q3,274415.974,12.522400387425195,1.87796847383565
BE,2018 Q4,223158.843,12.315639097325125,1.87796847383565
BE,2019 Q2,251002.279,12.433217297753975,2.4428900448156
BE,2019 Q3,261536.68550000002,12.474329841366503,2.4428900448156
BE,2019 Q4,233633.459,12.36150875170003,2.4428900448156
BE,2020 Q2,250712.53,12.432062262953266,-4.7929839083518
BE,2020 Q3,265394.181,12.48897147524425,-4.7929839083518
BE,2020 Q4,247537.024,12.419315441722318,-4.7929839083518
BE,2021 Q2,262343.797,12.477411124848294,6.20759981274431
BE,2021 Q3,248512.9225,12.423250125178836,6.20759981274431
BE,2021 Q4,217614.324,12.29047961900329,6.20759981274431
BE,2022 Q2,314778.199,12.65962353963297,4.2593607365269
BE,2022 Q3,300617.74899999995,12.613594799800756,4.2593607365269
BE,2022 Q4,329142.602,12.704246376568694,4.2593607365269
BE,2023 Q2,413353.53,12.932058510622584,1.201691781997
BE,2023 Q3,395438.385,12.887750263914237,1.201691781997
BE,2023 Q4,401164.015,12.902125637627481,1.201691781997
BE,2024 Q2,448354.432,13.013339341465718,1.01889862506124
BE,2024 Q3,465553.569,13.050982447488558,1.01889862506124
BE,2024 Q4,424988.23,12.959816753405418,1.01889862506124
BE,2025 Q2,525109.166,13.17136145519632,NA
CH,2015 Q2,470040.667,13.060574495475038,1.64462750849488
CH,2015 Q3,473265.0675,13.067410906916562,1.64462750849488
CH,2015 Q4,459147.623,13.037127056070846,1.64462750849488
CH,2016 Q2,460617.538,13.040323342065891,2.06868969039562
CH,2016 Q3,464965.155,13.04971774627782,2.06868969039562
CH,2016 Q4,439544.503,12.993494249229107,2.06868969039562
CH,2017 Q2,458902.54,13.036593135342548,1.36279965488859
CH,2017 Q3,449192.6375,13.015207111462772,1.36279965488859
CH,2017 Q4,453831.203,13.02548060832942,1.36279965488859
CH,2018 Q2,448286.653,13.013188157226532,2.86044579439036
CH,2018 Q3,451734.1545,13.020849132023034,2.86044579439036
CH,2018 Q4,453335.97,13.024388785203682,2.86044579439036
CH,2019 Q2,454656.667,13.027297835073817,1.14198218965691
