quarter,value
2021 Q3,3143300.05
2021 Q4,3179675.5
2022 Q1,3259799.6666666665
2022 Q2,3426033.7666666666
2022 Q3,3476242.4
2022 Q4,3459950.3000000003
2023 Q1,3359882.6666666665
2023 Q2,3394890
2023 Q3,3434762.3333333335
2023 Q4,3480891.466666667
2024 Q1,3538850.6
2024 Q2,3573641.5666666664
2024 Q3,3608838.4
2024 Q4,3738065.533333333
2025 Q1,3752829.533333333
2025 Q2,3746038.1333333333
2025 Q3,3784286.1
