model,estimate,std.error,p.value,ci_low,ci_high
No GDP control,-1.0188512304054893,1e-6,6.248407553220606e-7,-1.0188531904054894,-1.0188492704054892
With GDP control,-0.3326531554795505,1.0000000000000002e-6,1.913764417619659e-6,-0.3326551154795505,-0.33265119547955047
