quarter,CH,synth,gap
2018 Q2,-0.23872320317589235,-0.07928614442025549,-0.15943705875563685
2018 Q3,-0.23106222837938972,-0.0814850365439004,-0.14957719183548934
2018 Q4,-0.22752257519874242,-0.08659193576666094,-0.14093063943208148
2019 Q2,-0.2565579798469386,-0.0356134039366661,-0.22094457591027253
2019 Q3,-0.26273491173580865,-0.028195628948825664,-0.234539282786983
2019 Q4,-0.2425927918010089,-0.0571054959057119,-0.185487295895297
2020 Q2,-0.22415913157163025,-0.10876514350346411,-0.11539398806816614
2020 Q3,-0.2126887028930824,-0.08151902887968843,-0.13116967401339397
2020 Q4,-0.16622581499775357,-0.007032329422994562,-0.15919348557475901
2021 Q2,-0.014485786089050379,0.21607220786634349,-0.23055799395539386
2021 Q3,-0.01749962699367913,0.20345479763494567,-0.2209544246286248
2021 Q4,0.021723278241360333,0.1341573483698231,-0.11243407012846277
2022 Q2,-0.03369149222537082,0.21412858063576554,-0.24782007286113636
2022 Q3,-0.03613446634133233,0.21960201693562473,-0.2557364832769571
2022 Q4,-0.11255750594360947,0.2464402428375914,-0.35899774878120083
2023 Q2,-0.2125190506535013,0.31139248106524653,-0.5239115317187478
2023 Q3,-0.2145552288737278,0.2963198125319545,-0.5108750414056823
2023 Q4,-0.16171440880791899,0.29154432004715164,-0.4532587288550706
2024 Q2,-0.17530535815570403,0.3380608995391562,-0.5133662576948602
2024 Q3,-0.14704024455106612,0.39453894190165617,-0.5415791864527223
2024 Q4,-0.15007263147807848,0.31661139784562137,-0.46668402932369984
