id,post,mean_log,sd_log,mean_lvl
CH,FALSE,13.104210163908807,0.08533083107373224,492618.84975
CH,TRUE,13.135741595161862,0.04945073779460558,507290.15377777774
GB,FALSE,15.424738907385828,0.08643478970654947,5015710.85
GB,TRUE,15.532525280494939,0.0362922255365608,5571160.722222222
HK,FALSE,13.086952975370004,0.08901755500413444,484311.1682
HK,TRUE,13.257215356342915,0.040944689090956485,572611.9391666667
IE,FALSE,12.890225164191936,0.23924488135776767,406489.3840909091
IE,TRUE,13.174300817530183,0.07530893951503242,528014.40775
LU,FALSE,6.769968859102418,2.1368695712189885,2962.3477777777775
LU,TRUE,8.600890465778658,3.9759776670851648,144618.56800000003
NL,FALSE,13.981684026680485,0.06450021936062798,1182987.0010909091
NL,TRUE,14.158610377418936,0.04007423548958352,1410340.7379166668
SA,FALSE,10.791420665427024,0.10734015089089186,48847.863750000004
SA,TRUE,11.260914725068984,0.3063132942124952,81285.90365
SG,FALSE,12.502982818203812,0.13725173140088467,271400.65375
SG,TRUE,12.616326449402607,0.005528999486940762,301444.1449444445
