term,estimate,std.error,statistic,p.value
(Intercept),1909153.0869980734,963192.7331725291,1.9821091057339837,0.14176646042079669
treated,189490.85686713058,72954.447425244,2.5973859518475657,0.08055763010892067
CH,-1573295.168324928,1313548.2850497817,-1.197744450075775,0.31702000786989387
fx_ch,351585.4231555294,687043.394959427,0.5117368505904815,0.6441231090533287
vix,-10298.25131790152,9529.008540357658,-1.080726423350964,0.3589502845359911
treated:CH,-141672.2027123334,52627.6290760595,-2.6919738775916207,0.07428965242833879
