term,estimate,std.error,statistic,p.value
group::CH:post,-0.007460161041271901,1.0000000000000002e-6,-7460.161041271899,1.7968159043822524e-8
group::HKSG:post,-0.0027992189007256555,1.0000000000000002e-6,-2799.218900725655,1.2762219005900808e-7
