term,estimate,std.error,statistic,p.value
CH:post,-0.05572370265139733,1e-6,-55723.70265139733,1.1424577729191453e-5
HKSG:post,0.05572370265139733,1e-6,55723.70265139733,1.1424577729191453e-5
