id,quarter,value,log_value,index
CH,2016 Q3,464965.155,13.04971774627782,100.84905652704153
CH,2016 Q4,439544.503,12.993494249229107,95.33542019766487
CH,2017 Q2,458902.54,13.036593135342548,99.53409991951534
CH,2017 Q3,449192.6375,13.015207111462772,97.42806144423527
CH,2019 Q4,461050.575,13.041263023119747,100
CH,2020 Q3,504946.64300000004,13.132208045249616,109.52087913565666
CH,2020 Q4,528961.502,13.178670933144945,114.72960466430389
CH,2021 Q2,533519.406,13.187250723945244,115.71819555804696
CH,2021 Q3,531913.884,13.184236883040615,115.36996434718685
CH,2021 Q4,553191.652,13.223459788275655,119.98502593777266
CH,2022 Q2,548425.46,13.214806651559092,118.95125822150855
CH,2022 Q3,547087.306,13.21236367744313,118.66101804557992
CH,2022 Q4,506834.925,13.135940637840854,109.93043984382841
CH,2023 Q2,479194.892,13.079862666294177,103.93542877589948
CH,2023 Q3,478220.1585,13.077826488073951,103.72401303262663
CH,2023 Q4,504169.252,13.13066730813976,109.35226618034257
CH,2024 Q2,491673.273,13.105569695607846,106.64193901070396
CH,2024 Q3,505768.7405,13.133834809212484,109.6991887495206
CH,2024 Q4,504237.377,13.130802422285472,109.36704221657243
GB,2016 Q3,4560905,15.333031626711294,93.48906149047748
GB,2016 Q4,4407844,15.298896238989002,90.3516295025729
GB,2017 Q2,4640296,15.350288715271192,95.11641178187591
GB,2017 Q3,4667092,15.356046737615308,95.66567402077341
GB,2019 Q4,4878544,15.400357372655197,100
GB,2020 Q3,5172303.5,15.458828698513377,106.021458451538
GB,2020 Q4,5421254,15.505837711968656,111.12442564830819
GB,2021 Q2,5451913,15.51147711422443,111.7528713485007
GB,2021 Q3,5439320,15.509164611018974,111.4947410538882
GB,2021 Q4,5517637,15.523460246890856,113.10007658022558
GB,2022 Q2,5461453,15.5132254295343,111.94842149624971
GB,2022 Q3,5481582,15.516904303393762,112.36102410883247
GB,2022 Q4,5337596,15.49028592230575,109.40961073631804
GB,2023 Q2,5404516,15.502745458329896,110.78133147922823
GB,2023 Q3,5405082.5,15.50285027258373,110.79294355037077
GB,2023 Q4,5591763,15.536805180023393,114.61950532781913
GB,2024 Q2,5714227,15.558469587970109,117.12976248651236
GB,2024 Q3,5889716,15.58871833714779,120.72692180289857
GB,2024 Q4,5854511,15.582723033165726,120.00529256269904
HK,2016 Q3,418228.6585,12.943783591844884,88.20472095207212
