quarter,value
2021 Q3,801488.5
2021 Q4,811882.9666666667
2022 Q1,827354.0333333333
2022 Q2,841018.7999999999
2022 Q3,839839.0333333333
2022 Q4,818674.3333333334
2023 Q1,802557.6333333333
2023 Q2,796825.3666666667
2023 Q3,786749.9
2023 Q4,792685.6333333333
2024 Q1,801172.6333333333
2024 Q2,802855.3
2024 Q3,804227.2333333334
2024 Q4,822449.3666666667
2025 Q1,841283.6333333333
2025 Q2,846610.9
2025 Q3,852872.85
