group,post,mean_log,mean_lvl
CH,FALSE,13.086811396132221,483976.1190357143
CH,TRUE,13.135741595161862,507290.15377777774
HK+SG,FALSE,12.816012604886973,386160.5164642857
HK+SG,TRUE,12.93677090287276,437028.04205555556
